audio_id,split,label,suggested,p_label,p_suggested,reason,original_filename,source,path,score
AUD-004618,train,Panic Scream,Alarm or Siren,0.0,0.954,model is sure it is Alarm or Siren,scream_N2ttrM3FlcQ_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004618.wav,1.3
AUD-004649,val,Panic Scream,Background Noise,0.0,0.982,model is sure it is Background Noise,scream_oThV7hjNJaQ_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/val/Panic Scream/AUD-004649.wav,1.3
AUD-004358,train,Panic Scream,Background Noise,0.0,1.0,model is sure it is Background Noise,scream_BfVcHcorGS8_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004358.wav,1.3
AUD-004373,train,Panic Scream,Animal Sound,0.0,0.645,label gets a low probability,scream_C07OgADP2y0_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004373.wav,1.3
AUD-004426,train,Panic Scream,Background Noise,0.0,1.0,model is sure it is Background Noise,scream_E-V7blxcItc_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004426.wav,1.3
AUD-004451,train,Panic Scream,Background Noise,0.0,1.0,model is sure it is Background Noise,scream_FegpbrOw14k_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004451.wav,1.3
AUD-004462,test,Panic Scream,Vehicle Horn,0.0,0.953,model is sure it is Vehicle Horn,scream_FrMqnic0t7E_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/test/Panic Scream/AUD-004462.wav,1.3
AUD-004466,train,Panic Scream,Background Noise,0.0,1.0,model is sure it is Background Noise,scream_FwjZ2_87y1k_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004466.wav,1.3
AUD-004538,test,Panic Scream,Animal Sound,0.0,0.998,model is sure it is Animal Sound,scream_jc8SPqDauFA_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/test/Panic Scream/AUD-004538.wav,1.3
AUD-005904,train,Background Noise,Animal Sound,0.0,0.998,model is sure it is Animal Sound,esc50_5-210540-A-13.wav,ESC-50:210540:crickets,audio_dataset/processed/train/Background Noise/AUD-005904.wav,1.3
AUD-005913,train,Background Noise,Animal Sound,0.0,1.0,model is sure it is Animal Sound,esc50_5-219342-A-38.wav,ESC-50:219342:clock_tick,audio_dataset/processed/train/Background Noise/AUD-005913.wav,1.3
AUD-001504,train,Vehicle Horn,Background Noise,0.0,0.604,label gets a low probability,esc50_3-146697-A-43.wav,ESC-50:146697:car_horn,audio_dataset/processed/train/Vehicle Horn/AUD-001504.wav,1.3
AUD-004258,test,Panic Scream,Aggression,0.0,0.998,model is sure it is Aggression,scream_88SopTWiKLg_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/test/Panic Scream/AUD-004258.wav,1.3
AUD-004265,train,Panic Scream,Background Noise,0.0,1.0,model is sure it is Background Noise,scream_8KLDKzOulAw_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004265.wav,1.3
AUD-004094,train,Gunshot,Animal Sound,0.0,1.0,model is sure it is Animal Sound,us8k_78776-6-0-0.wav,UrbanSound8K:78776:gun_shot,audio_dataset/processed/train/Gunshot/AUD-004094.wav,1.3
AUD-004131,train,Panic Scream,Animal Sound,0.0,0.985,model is sure it is Animal Sound,scream_1HUt1HOLaeY_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004131.wav,1.3
AUD-005994,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,extra_freesound_community-glass-wipe-75164.mp3,extra:Background Noise (manual),audio_dataset/processed/train/Background Noise/AUD-005994.wav,1.3
AUD-006281,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_1mOxqUT_AKc_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006281.wav,1.3
AUD-002759,test,Animal Sound,Gunshot,0.0,1.0,model is sure it is Gunshot,us8k_35629-3-3-0.wav,UrbanSound8K:35629:dog_bark,audio_dataset/processed/test/Animal Sound/AUD-002759.wav,1.3
AUD-003006,test,Animal Sound,Gunshot,0.0,1.0,model is sure it is Gunshot,us8k_86284-3-1-0.wav,UrbanSound8K:86284:dog_bark,audio_dataset/processed/test/Animal Sound/AUD-003006.wav,1.3
AUD-006290,train,Background Noise,Panic Scream,0.0,0.995,model is sure it is Panic Scream,notscream_2DtIskP6SN0_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006290.wav,1.3
AUD-006294,train,Background Noise,Panic Scream,0.0,0.995,model is sure it is Panic Scream,notscream_2XFwH-VGWjU_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006294.wav,1.3
AUD-006298,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_3dw4ETcqtQk_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006298.wav,1.3
AUD-006305,test,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_5bKeBLyRTz0_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/test/Background Noise/AUD-006305.wav,1.3
AUD-006308,train,Background Noise,Panic Scream,0.0,0.999,model is sure it is Panic Scream,notscream_5gB0wpfKeOk_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006308.wav,1.3
AUD-006369,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_CcXfe1xEuhA_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006369.wav,1.3
AUD-006372,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_cKBekkF-cdo_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006372.wav,1.3
AUD-006635,train,Background Noise,Animal Sound,0.0,1.0,model is sure it is Animal Sound,rec_S00_20260924_015645_020.wav,team-recording:S00,audio_dataset/processed/train/Background Noise/AUD-006635.wav,1.3
AUD-006704,test,Background Noise,Animal Sound,0.0,0.997,model is sure it is Animal Sound,us8k_123399-2-0-19.wav,UrbanSound8K:123399:children_playing,audio_dataset/processed/test/Background Noise/AUD-006704.wav,1.3
AUD-001716,train,Vehicle Horn,Aggression,0.0,0.989,model is sure it is Aggression,us8k_71309-1-0-0.wav,UrbanSound8K:71309:car_horn,audio_dataset/processed/train/Vehicle Horn/AUD-001716.wav,1.3
AUD-001823,train,Vehicle Horn,Background Noise,0.0,1.0,model is sure it is Background Noise,us8k_7389-1-0-0.wav,UrbanSound8K:7389:car_horn,audio_dataset/processed/train/Vehicle Horn/AUD-001823.wav,1.3
AUD-001472,val,Alarm or Siren,Animal Sound,0.0,0.789,model is sure it is Animal Sound,us8k_94636-8-0-19.wav,UrbanSound8K:94636:siren,audio_dataset/processed/val/Alarm or Siren/AUD-001472.wav,1.3
AUD-002521,train,Animal Sound,Aggression,0.0,0.999,model is sure it is Aggression,us8k_175915-3-0-1.wav,UrbanSound8K:175915:dog_bark,audio_dataset/processed/train/Animal Sound/AUD-002521.wav,1.3
AUD-002590,test,Animal Sound,Vehicle Horn,0.0,0.996,model is sure it is Vehicle Horn,us8k_190996-3-0-8.wav,UrbanSound8K:190996:dog_bark,audio_dataset/processed/test/Animal Sound/AUD-002590.wav,1.3
AUD-002630,train,Animal Sound,Background Noise,0.0,0.999,model is sure it is Background Noise,us8k_197075-3-7-5.wav,UrbanSound8K:197075,audio_dataset/processed/train/Animal Sound/AUD-002630.wav,1.3
AUD-002652,val,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,us8k_203356-3-0-1.wav,UrbanSound8K:203356:dog_bark,audio_dataset/processed/val/Animal Sound/AUD-002652.wav,1.3
AUD-002249,train,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,esc50_5-233787-A-7.wav,ESC-50:233787:insects,audio_dataset/processed/train/Animal Sound/AUD-002249.wav,1.3
AUD-001842,train,Vehicle Horn,Background Noise,0.0,1.0,model is sure it is Background Noise,us8k_7389-1-4-0.wav,UrbanSound8K:7389:car_horn,audio_dataset/processed/train/Vehicle Horn/AUD-001842.wav,1.3
AUD-001922,train,Animal Sound,Aggression,0.0,0.907,model is sure it is Aggression,esc50_1-44831-A-1.wav,ESC-50:44831:rooster,audio_dataset/processed/train/Animal Sound/AUD-001922.wav,1.3
AUD-006574,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_vsDriIwNAmU_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006574.wav,1.3
AUD-006585,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_WyWE44m1TtA_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006585.wav,1.3
AUD-006606,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_yZ4Z2WZ5efw_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006606.wav,1.3
AUD-006609,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_zC3MxGNQ4fY_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006609.wav,1.3
AUD-002429,train,Animal Sound,Alarm or Siren,0.0,1.0,model is sure it is Alarm or Siren,us8k_155299-3-0-1.wav,UrbanSound8K:155299:dog_bark,audio_dataset/processed/train/Animal Sound/AUD-002429.wav,1.3
AUD-002479,train,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,us8k_161923-3-0-5.wav,UrbanSound8K:161923:dog_bark,audio_dataset/processed/train/Animal Sound/AUD-002479.wav,1.3
AUD-006379,val,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_CVcySsjK8Es_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/val/Background Noise/AUD-006379.wav,1.3
AUD-006382,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_D5ebkJwpPrg_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006382.wav,1.3
AUD-006384,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_DemqL00CVVQ_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006384.wav,1.3
AUD-006397,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_e5KzMxbeA2Q_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006397.wav,1.3
AUD-002201,train,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,esc50_5-127990-A-2.wav,ESC-50:127990:pig,audio_dataset/processed/train/Animal Sound/AUD-002201.wav,1.3
AUD-002207,train,Animal Sound,Background Noise,0.0,0.994,model is sure it is Background Noise,esc50_5-172639-A-5.wav,ESC-50:172639:cat,audio_dataset/processed/train/Animal Sound/AUD-002207.wav,1.3
AUD-006458,test,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_JFbS_nVA-KI_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/test/Background Noise/AUD-006458.wav,1.3
AUD-006490,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_mHPeZzWcOeQ_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006490.wav,1.3
AUD-002122,train,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,esc50_4-143118-A-7.wav,ESC-50:143118:insects,audio_dataset/processed/train/Animal Sound/AUD-002122.wav,1.3
AUD-001945,test,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,esc50_1-73585-A-7.wav,ESC-50:73585:insects,audio_dataset/processed/test/Animal Sound/AUD-001945.wav,1.3
AUD-001994,train,Animal Sound,Background Noise,0.0,1.0,model is sure it is Background Noise,esc50_2-160128-A-7.wav,ESC-50:160128:insects,audio_dataset/processed/train/Animal Sound/AUD-001994.wav,1.3
AUD-006500,train,Background Noise,Panic Scream,0.0,0.999,model is sure it is Panic Scream,notscream_nhoLUwa7wZY_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006500.wav,1.3
AUD-006521,val,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_Pdd2UAQu28g_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/val/Background Noise/AUD-006521.wav,1.3
AUD-006523,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_PIdcZV3BNHU_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006523.wav,1.3
AUD-006549,train,Background Noise,Panic Scream,0.0,1.0,model is sure it is Panic Scream,notscream_StsMliJkaYk_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006549.wav,1.3
AUD-000542,test,Glass Breaking,Gunshot,0.0,1.0,model is sure it is Gunshot,esc50_1-84705-A-39.wav,ESC-50:84705:glass_breaking,audio_dataset/processed/test/Glass Breaking/AUD-000542.wav,1.3
AUD-000547,val,Glass Breaking,Background Noise,0.0,0.967,model is sure it is Background Noise,esc50_2-106881-A-39.wav,ESC-50:106881:glass_breaking,audio_dataset/processed/val/Glass Breaking/AUD-000547.wav,1.3
AUD-006847,test,Background Noise,Alarm or Siren,0.0,1.0,model is sure it is Alarm or Siren,us8k_205610-4-0-0.wav,UrbanSound8K:205610:drilling,audio_dataset/processed/test/Background Noise/AUD-006847.wav,1.3
AUD-006862,train,Background Noise,Gunshot,0.0,1.0,model is sure it is Gunshot,us8k_33340-7-15-0.wav,UrbanSound8K:33340:jackhammer,audio_dataset/processed/train/Background Noise/AUD-006862.wav,1.3
AUD-006887,test,Background Noise,Aggression,0.0,0.994,model is sure it is Aggression,us8k_60935-2-0-4.wav,UrbanSound8K:60935:children_playing,audio_dataset/processed/test/Background Noise/AUD-006887.wav,1.3
AUD-006782,test,Background Noise,Animal Sound,0.0,0.913,model is sure it is Animal Sound,us8k_175904-2-0-24.wav,UrbanSound8K:175904:children_playing,audio_dataset/processed/test/Background Noise/AUD-006782.wav,1.3
AUD-006800,test,Background Noise,Gunshot,0.0,1.0,model is sure it is Gunshot,us8k_17913-4-2-0.wav,UrbanSound8K:17913:drilling,audio_dataset/processed/test/Background Noise/AUD-006800.wav,1.3
AUD-000812,train,Alarm or Siren,Background Noise,0.001,0.998,model is sure it is Background Noise,us8k_121528-8-1-1.wav,UrbanSound8K:121528:siren,audio_dataset/processed/train/Alarm or Siren/AUD-000812.wav,1.299
AUD-006505,train,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_o274yH7D0Og_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006505.wav,1.299
AUD-006534,train,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_Qyq67PSyedI_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006534.wav,1.299
AUD-006532,train,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_qDXuGb91ld0_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006532.wav,1.299
AUD-001981,train,Animal Sound,Panic Scream,0.001,0.605,label gets a low probability,esc50_2-119161-B-8.wav,ESC-50:119161:sheep,audio_dataset/processed/train/Animal Sound/AUD-001981.wav,1.299
AUD-002037,val,Animal Sound,Background Noise,0.001,0.998,model is sure it is Background Noise,esc50_3-105236-A-7.wav,ESC-50:105236:insects,audio_dataset/processed/val/Animal Sound/AUD-002037.wav,1.299
AUD-005212,train,Person Asking for Help,Background Noise,0.001,0.993,model is sure it is Background Noise,rec_S03_20260924_033925_026.wav,team-recording:S03,audio_dataset/processed/train/Person Asking for Help/AUD-005212.wav,1.299
AUD-002101,train,Animal Sound,Background Noise,0.001,0.999,model is sure it is Background Noise,esc50_3-257858-A-2.wav,ESC-50:257858:pig,audio_dataset/processed/train/Animal Sound/AUD-002101.wav,1.299
AUD-002094,train,Animal Sound,Aggression,0.001,0.997,model is sure it is Aggression,esc50_3-233151-A-2.wav,ESC-50:233151:pig,audio_dataset/processed/train/Animal Sound/AUD-002094.wav,1.299
AUD-002053,test,Animal Sound,Background Noise,0.001,0.576,label gets a low probability,esc50_3-129264-A-9.wav,ESC-50:129264:crow,audio_dataset/processed/test/Animal Sound/AUD-002053.wav,1.299
AUD-006499,train,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_nck7Z9MtNIU_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/train/Background Noise/AUD-006499.wav,1.299
AUD-006854,train,Background Noise,Vehicle Horn,0.001,0.981,model is sure it is Vehicle Horn,us8k_22883-7-81-0.wav,UrbanSound8K:22883:jackhammer,audio_dataset/processed/train/Background Noise/AUD-006854.wav,1.299
AUD-005636,train,Background Noise,Animal Sound,0.001,0.999,model is sure it is Animal Sound,esc50_3-107123-A-26.wav,ESC-50:107123:laughing,audio_dataset/processed/train/Background Noise/AUD-005636.wav,1.299
AUD-000689,train,Alarm or Siren,Vehicle Horn,0.001,0.915,model is sure it is Vehicle Horn,esc50_5-150409-A-42.wav,ESC-50:150409:siren,audio_dataset/processed/train/Alarm or Siren/AUD-000689.wav,1.299
AUD-006799,train,Background Noise,Animal Sound,0.001,0.938,model is sure it is Animal Sound,us8k_178826-2-0-14.wav,UrbanSound8K:178826:children_playing,audio_dataset/processed/train/Background Noise/AUD-006799.wav,1.299
AUD-000652,train,Alarm or Siren,Background Noise,0.001,0.993,model is sure it is Background Noise,esc50_3-117793-A-37.wav,ESC-50:117793:clock_alarm,audio_dataset/processed/train/Alarm or Siren/AUD-000652.wav,1.299
AUD-005588,train,Background Noise,Animal Sound,0.001,0.999,model is sure it is Animal Sound,esc50_2-60180-A-49.wav,ESC-50:60180:hand_saw,audio_dataset/processed/train/Background Noise/AUD-005588.wav,1.299
AUD-005489,train,Background Noise,Animal Sound,0.001,0.999,model is sure it is Animal Sound,esc50_1-58792-A-24.wav,ESC-50:58792:coughing,audio_dataset/processed/train/Background Noise/AUD-005489.wav,1.299
AUD-004276,train,Panic Scream,Background Noise,0.001,0.999,model is sure it is Background Noise,scream_8Vb69cN3uWQ_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004276.wav,1.299
AUD-004409,train,Panic Scream,Background Noise,0.001,0.999,model is sure it is Background Noise,scream_DBPbNWss8zk_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004409.wav,1.299
AUD-004311,train,Panic Scream,Animal Sound,0.001,0.702,model is sure it is Animal Sound,scream__TLzbbay6Hw_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004311.wav,1.299
AUD-004685,val,Panic Scream,Background Noise,0.001,0.989,model is sure it is Background Noise,scream_QaFvrx3r8k4_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/val/Panic Scream/AUD-004685.wav,1.299
AUD-005806,train,Background Noise,Animal Sound,0.001,0.999,model is sure it is Animal Sound,esc50_4-181599-A-26.wav,ESC-50:181599:laughing,audio_dataset/processed/train/Background Noise/AUD-005806.wav,1.299
AUD-002529,train,Animal Sound,Background Noise,0.001,0.517,label gets a low probability,us8k_17615-3-0-4.wav,UrbanSound8K:17615:dog_bark,audio_dataset/processed/train/Animal Sound/AUD-002529.wav,1.299
AUD-006338,val,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_9Nw0H-NeX-4_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/val/Background Noise/AUD-006338.wav,1.299
AUD-006668,test,Background Noise,Animal Sound,0.001,0.949,model is sure it is Animal Sound,rec_S01_20260924_105510_013.wav,team-recording:S01,audio_dataset/processed/test/Background Noise/AUD-006668.wav,1.299
AUD-001364,test,Alarm or Siren,Animal Sound,0.001,0.548,label gets a low probability,us8k_70740-8-0-0.wav,UrbanSound8K:70740:siren,audio_dataset/processed/test/Alarm or Siren/AUD-001364.wav,1.299
AUD-001491,train,Vehicle Horn,Background Noise,0.001,0.976,model is sure it is Background Noise,esc50_1-254507-A-43.wav,ESC-50:254507:car_horn,audio_dataset/processed/train/Vehicle Horn/AUD-001491.wav,1.299
AUD-004754,test,Panic Scream,Background Noise,0.001,0.999,model is sure it is Background Noise,scream_ThWk-DFLmeU_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/test/Panic Scream/AUD-004754.wav,1.299
AUD-004758,train,Panic Scream,Background Noise,0.001,0.999,model is sure it is Background Noise,scream_TlFSjfGa5Bc_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004758.wav,1.299
AUD-006381,test,Background Noise,Panic Scream,0.001,0.999,model is sure it is Panic Scream,notscream_CZmiS6QsfJU_out.wav,Kaggle Human Screaming Detection:NotScreaming,audio_dataset/processed/test/Background Noise/AUD-006381.wav,1.299
